Province,0-14,                        15-64,65
YUE,72020000,403600000,30790000
SU,32280000,206720000,30400000
LU,39140000,185080000,26820000
ZHE,25720000,163530000,19010000
LIAO,19410000,156170000,26550000
YU,26830000,125340000,16290000
E,18720000,127560000,17340000
CHUAN,19250000,125420000,15140000
HU,16650000,119310000,21750000
JII ,21050000,112770000,16780000
JING,15690000,111460000,18220000
HEI,12080000,109450000,16470000
XIANG,19880000,102370000,15370000
MIN,22370000,102610000,9420000
WAN,17180000,87380000,14650000
YU,13390000,80910000,10870000
GUI,17860000,75180000,8190000
JIN ,14460000,76510000,6830000
JIN ,9560000,75330000,10630000
JI ,9810000,72430000,10440000
SHAAN,12840000,69100000,7320000
GAAN,14550000,58810000,8020000
MENG,9990000,55370000,6640000
YUN,9500000,52220000,6510000
XIN,9310000,44210000,6170000
QIAN,9520000,41920000,5360000
GAN,5630000,33540000,5030000
QIONG,4370000,17410000,1560000
NING,3020000,16580000,1670000
QING,1960000,10010000,1280000
ZANG,470000,3200000,270000
